Date,Deaths,Covid Cases,State 
9/8/2020,1,633,Alabama
9/8/2020,2,836,Virginia
9/8/2020,0,34,Alaska
9/8/2020,0,749,Wisconsin
9/8/2020,0,3,Vermont
9/8/2020,0,0,Washington
9/8/2020,2,383,Minnesota
9/8/2020,3,86,West Virginia
9/7/2020,0,575,Wisconsin
9/7/2020,7,1018,North Carolina
9/7/2020,1,52,Montana
9/7/2020,1,242,Mississippi
9/7/2020,0,171,North Dakota
9/7/2020,1,906,Missouri
9/7/2020,3,638,Minnesota
9/7/2020,4,1212,Michigan
9/7/2020,0,19,Maine
9/7/2020,5,764,Maryland
9/7/2020,0,81,Nebraska
9/7/2020,8,229,Massachusetts
9/7/2020,0,29,New Hampshire
9/7/2020,12,309,Louisiana
9/7/2020,2,332,New Jersey
9/7/2020,0,290,Kentucky
9/7/2020,3,59,New Mexico
9/7/2020,4,1694,Kansas
9/7/2020,4,357,Nevada
9/7/2020,4,590,Indiana
9/7/2020,2,520,New York
9/7/2020,8,1381,Illinois
9/7/2020,17,778,Ohio
9/7/2020,1,190,Idaho
9/7/2020,0,613,Oklahoma
9/7/2020,3,393,Iowa
9/7/2020,1,146,Oregon
9/7/2020,1,162,Hawaii
9/7/2020,20,547,Pennsylvania
9/7/2020,7,608,Georgia
9/7/2020,1,53,Rhode Island
9/7/2020,22,1838,Florida
9/7/2020,20,655,South Carolina
9/7/2020,0,206,Delaware
9/7/2020,0,191,South Dakota
9/7/2020,0,36,Washington DC
9/7/2020,4,983,Tennessee
9/7/2020,0,0,Connecticut
9/7/2020,20,2060,Texas
9/7/2020,0,285,Colorado
9/7/2020,1,373,Utah
9/7/2020,17,3091,California
9/7/2020,6,645,Virginia
9/7/2020,-2,198,Arizona
9/7/2020,0,3,Vermont
9/7/2020,14,1054,Arkansas
9/7/2020,1,163,West Virginia
9/7/2020,0,659,Alabama
9/7/2020,0,34,Alaska
9/7/2020,0,0,Wyoming
9/7/2020,0,399,Washington
9/6/2020,3,123,West Virginia
9/6/2020,15,410,Mississippi
9/6/2020,19,1232,Missouri
9/6/2020,1,100,Montana
9/6/2020,0,0,Michigan
9/6/2020,0,15,Maine
9/6/2020,3,512,Maryland
9/6/2020,9,366,Massachusetts
9/6/2020,58,1395,Louisiana
9/6/2020,1,1086,North Carolina
9/6/2020,3,310,Kentucky
9/6/2020,0,299,North Dakota
9/6/2020,0,0,Kansas
9/6/2020,0,144,Nebraska
9/6/2020,2,843,Indiana
9/6/2020,1,23,New Hampshire
9/6/2020,5,1403,Illinois
9/6/2020,4,311,New Jersey
9/6/2020,2,281,Idaho
9/6/2020,6,146,New Mexico
9/6/2020,4,649,Iowa
9/6/2020,1,508,Nevada
9/6/2020,3,220,Hawaii
9/6/2020,9,729,New York
9/6/2020,3,773,Ohio
9/6/2020,60,1651,Georgia
9/6/2020,3,420,Oklahoma
9/6/2020,38,2564,Florida
9/6/2020,1,188,Oregon
9/6/2020,1,151,Delaware
9/6/2020,0,691,Pennsylvania
9/6/2020,0,41,Washington DC
9/6/2020,0,0,Connecticut
9/6/2020,0,35,Rhode Island
9/6/2020,0,334,Colorado
9/6/2020,10,663,South Carolina
9/6/2020,66,4905,California
9/6/2020,0,220,South Dakota
9/6/2020,14,250,Arizona
9/6/2020,3,1764,Tennessee
9/6/2020,64,2995,Texas
9/6/2020,12,0,Arkansas
9/6/2020,2,388,Utah
9/6/2020,1,511,Alabama
9/6/2020,1,1199,Virginia
9/6/2020,0,89,Alaska
9/6/2020,0,501,Washington
9/6/2020,0,1,Vermont
9/6/2020,0,26,Wyoming
9/6/2020,6,707,Minnesota
9/6/2020,0,890,Wisconsin
9/5/2020,15,999,Wisconsin
9/5/2020,2,145,Montana
9/5/2020,11,539,Mississippi
9/5/2020,0,17,Wyoming
9/5/2020,50,1561,North Carolina
9/5/2020,4,914,Minnesota
9/5/2020,8,896,Michigan
9/5/2020,0,35,Maine
9/5/2020,7,776,Maryland
9/5/2020,16,438,Massachusetts
9/5/2020,0,356,North Dakota
9/5/2020,0,0,Louisiana
9/5/2020,0,192,Nebraska
9/5/2020,6,787,Kentucky
9/5/2020,0,56,New Hampshire
9/5/2020,0,0,Kansas
9/5/2020,7,325,New Jersey
9/5/2020,12,1077,Indiana
9/5/2020,3,90,New Mexico
9/5/2020,23,2806,Illinois
9/5/2020,13,390,Nevada
9/5/2020,10,269,Idaho
9/5/2020,2,801,New York
9/5/2020,20,1028,Iowa
9/5/2020,8,1341,Ohio
9/5/2020,2,271,Hawaii
9/5/2020,4,1147,Oklahoma
9/5/2020,5,255,Oregon
9/5/2020,46,2194,Georgia
9/5/2020,18,963,Pennsylvania
9/5/2020,60,3656,Florida
9/5/2020,2,140,Delaware
9/5/2020,3,241,Rhode Island
9/5/2020,0,52,Washington DC
9/5/2020,31,964,South Carolina
9/5/2020,0,0,Connecticut
9/5/2020,3,293,South Dakota
9/5/2020,5,368,Colorado
9/5/2020,25,1765,Tennessee
9/5/2020,153,4956,California
9/5/2020,177,4486,Texas
9/5/2020,36,835,Arizona
9/5/2020,1,433,Utah
9/5/2020,15,948,Virginia
9/5/2020,9,548,Arkansas
9/5/2020,9,1410,Alabama
9/5/2020,0,5,Vermont
9/5/2020,2,98,Alaska
9/5/2020,8,479,Washington
9/5/2020,0,252,West Virginia
9/5/2020,77,1987,Missouri
9/4/2020,7,1542,Wisconsin
9/4/2020,22,823,Mississippi
9/4/2020,6,192,West Virginia
9/4/2020,3,148,Montana
9/4/2020,7,1053,Michigan
9/4/2020,1,15,Maine
9/4/2020,11,819,Maryland
9/4/2020,23,212,Massachusetts
9/4/2020,14,822,Louisiana
9/4/2020,36,2045,North Carolina
9/4/2020,11,792,Kentucky
9/4/2020,1,342,North Dakota
9/4/2020,23,1280,Kansas
9/4/2020,5,474,Nebraska
9/4/2020,18,1030,Indiana
9/4/2020,0,21,New Hampshire
9/4/2020,38,5594,Illinois
9/4/2020,7,449,New Jersey
